id,pejabat_lelang,tanggal,pemohon,timestamp_created,timestamp_updated
5,"Novirina Habibah, S.H.",2025-05-22,Balai Lelang Caready,2025-05-23T17:00:06,2025-05-23T17:00:06
6,"Novirina Habibah, S.H.",2025-05-22,Anugerah Lelang Indonesia,2025-05-23T17:00:41,2025-05-23T17:00:41
4,"Novirina Habibah, S.H.",2025-05-19,Balai Lelang Caready,2025-05-23T16:59:32,2025-05-23T16:59:32
1,"Shelvita Andriani, S.H.",2025-05-16,PT. Digital Sarana Legoas,2025-05-23T16:49:05,2025-05-23T16:49:05
2,"Novirina Habibah, S.H.",2025-05-15,Balai Lelang Caready,2025-05-23T16:57:15,2025-05-23T16:57:15
3,"Novirina Habibah, S.H.",2025-05-15,Anugrah Lelang Indonesia,2025-05-23T16:58:08,2025-05-23T16:58:08
